defense,prompt_type,icl_num,adaptive_attack,name,birthdate,gender,race_ethnicity,committee_roles,religion,education,mean
mask,pseudocode,0,no,0.0106,0.0,0.7849,0.5978,0.0625,0.2174,0.0853,0.2512
no,direct,0,no,0.7289,0.0,0.9,0.1714,0.2086,0.1571,0.2768,0.349
no,direct,0,yes,0.7132,0.0,0.92,0.19,0.2081,0.17,0.27,0.353
no,direct,5,yes,0.03,0.01,1.0,0.92,0.1696,0.38,0.1304,0.3771
no,pseudocode,0,no,0.0221,0.0,0.7895,0.596,0.0677,0.3232,0.0886,0.2696
no,pseudocode,0,yes,0.0217,0.0,0.7778,0.6837,0.0611,0.3402,0.0939,0.2826
pi_ci,direct,0,no,0.7067,0.0,0.9082,0.102,0.1504,0.1327,0.259,0.3227
pi_ci,direct,0,yes,0.6938,0.0,0.9091,0.1,0.1534,0.1414,0.2596,0.3225
